国家,Privileged App,Packaged App, Hosted app, 免费,Free-Inapp,premium,premium-inapp,other
所有,428,3493,1939,5207,9,171,42,3
中国,141,1206,422,1625,3,0,0,0
乌拉圭,412,3429,1903,5120,9,159,41,3
印度,377,3267,1919,5173,9,0,0,3
危地马拉,370,3244,1906,5141,6,0,0,3
厄瓜多尔,370,3244,1907,5142,6,0,0,3
哥伦比亚,414,3433,1904,5125,9,159,41,3
哥斯达黎加,370,3244,1907,5142,6,0,0,3
塞尔维亚,365,3226,1892,5108,7,0,0,3
墨西哥,411,3433,1905,5125,8,161,41,3
委内瑞拉,411,3428,1902,5119,9,158,41,3
孟加拉国,376,3263,1914,5165,9,0,0,3
尼加拉瓜,370,3245,1907,5143,6,0,0,3
巴拿马,370,3246,1908,5145,6,0,0,3
巴西,411,3433,1905,5125,8,161,41,3
希腊,411,3424,1899,5108,8,163,41,3
德国,401,3234,1751,4787,7,150,40,1
意大利,367,3229,1893,5113,6,0,0,3
捷克共和国,378,3269,1926,5183,9,0,0,3
日本,377,3266,1926,5180,9,0,0,3
智利,414,3432,1907,5127,9,159,41,3
法国,373,3250,1911,5151,7,0,0,3
波兰,411,3430,1901,5111,8,167,42,3
秘鲁,411,3426,1903,5118,9,158,41,3
美国,414,3425,1909,5127,8,155,41,3
英国,412,3412,1902,5112,8,150,41,3
萨尔瓦多,370,3244,1907,5142,6,0,0,3
西班牙,412,3440,1908,5126,9,168,42,3
阿根廷,367,3235,1897,5120,9,0,0,3
黑山,365,3227,1894,5111,7,0,0,3
匈牙利,412,3420,1899,5111,7,158,40,3
其他地区,366,3230,1898,5117,8,0,0,3
